,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Gintaras Einikis,32.0,9,15,0,1,1,2,2,6,1,0,0,0,2,19,lithuania,2000-09-19,france,200009199,Group A,W
1,Andrius Giedraitis,30.0,2,7,1,1,4,4,0,3,2,0,0,1,3,9,lithuania,2000-09-19,france,200009199,Group A,W
2,Saulius Stombergas,29.0,4,10,2,4,3,4,0,1,1,1,0,1,4,13,lithuania,2000-09-19,france,200009199,Group A,W
3,Sarunas Jasikevicius,28.0,1,7,1,5,3,4,0,0,6,1,1,0,3,6,lithuania,2000-09-19,france,200009199,Group A,W
4,Ramunas Siskauskas,23.0,3,4,1,1,3,3,2,3,3,0,0,3,5,10,lithuania,2000-09-19,france,200009199,Group A,W
5,Tomas Masiulis,22.0,4,6,0,0,4,4,0,1,0,2,1,2,4,12,lithuania,2000-09-19,france,200009199,Group A,W
6,Darius Maskoliunas,16.0,0,1,0,1,0,2,0,1,1,0,0,0,2,0,lithuania,2000-09-19,france,200009199,Group A,W
7,Eurelijus Zukauskas,11.0,1,2,0,0,2,2,0,4,1,1,0,1,0,4,lithuania,2000-09-19,france,200009199,Group A,W
8,Darius Songaila,10.0,3,4,0,0,2,2,3,3,1,0,0,0,3,8,lithuania,2000-09-19,france,200009199,Group A,W
9,Totals,,27,56,5,13,22,27,7,22,16,5,2,8,26,81,lithuania,2000-09-19,france,200009199,Group A,W
0,Antoine Rigaudeau,33.0,4,13,1,7,4,4,0,2,3,0,0,2,4,13,france,2000-09-19,lithuania,200009199,Group A,L
1,Jim Bilba,31.0,3,5,1,2,2,2,3,5,2,0,1,3,2,9,france,2000-09-19,lithuania,200009199,Group A,L
2,Frederic Weis,26.0,4,5,0,0,0,2,0,5,0,0,0,2,1,8,france,2000-09-19,lithuania,200009199,Group A,L
3,Stephane Risacher,23.0,3,6,1,2,3,4,0,0,3,0,0,1,4,10,france,2000-09-19,lithuania,200009199,Group A,L
4,Laurent Foirest,17.0,1,7,0,1,4,4,0,2,1,0,3,1,2,6,france,2000-09-19,lithuania,200009199,Group A,L
5,Yann Bonato,16.0,1,3,0,1,2,2,1,1,0,0,0,3,4,4,france,2000-09-19,lithuania,200009199,Group A,L
6,Moustapha Sonko,14.0,0,3,0,2,6,8,1,1,1,0,0,3,2,6,france,2000-09-19,lithuania,200009199,Group A,L
7,Crawford Palmer,14.0,0,3,0,0,1,2,0,4,0,0,0,1,4,1,france,2000-09-19,lithuania,200009199,Group A,L
8,Makan Dioumassi,12.0,0,2,0,2,2,2,1,1,0,0,0,0,2,2,france,2000-09-19,lithuania,200009199,Group A,L
9,Cyril Julian,9.0,2,2,0,0,0,0,0,4,0,0,1,0,5,4,france,2000-09-19,lithuania,200009199,Group A,L
10,Laurent Sciarra,5.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,france,2000-09-19,lithuania,200009199,Group A,L
11,Totals,,18,49,3,17,24,30,6,26,12,0,5,16,30,63,france,2000-09-19,lithuania,200009199,Group A,L
