,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,LeBron James,27.0,6,12,0,3,1,2,3,6,6,2,3,3,0,13,united states,2008-08-14,greece,2008081415,Group B,200815
1,Chris Paul,26.0,2,6,0,1,0,0,0,2,3,2,0,2,3,4,united states,2008-08-14,greece,2008081415,Group B,200815
2,Kobe Bryant,24.0,7,14,2,5,2,3,3,4,2,0,1,1,2,18,united states,2008-08-14,greece,2008081415,Group B,200815
3,Deron Williams,24.0,2,5,1,3,0,1,1,2,3,0,0,3,4,5,united states,2008-08-14,greece,2008081415,Group B,200815
4,Carmelo Anthony,22.0,2,6,2,4,2,2,2,6,0,2,0,2,4,8,united states,2008-08-14,greece,2008081415,Group B,200815
5,Chris Bosh,21.0,7,8,0,0,4,5,0,5,0,2,2,0,2,18,united states,2008-08-14,greece,2008081415,Group B,200815
6,Dwyane Wade,20.0,6,10,1,2,4,9,1,3,5,6,0,1,0,17,united states,2008-08-14,greece,2008081415,Group B,200815
7,Dwight Howard,12.0,1,1,0,0,0,1,0,6,1,1,1,2,4,2,united states,2008-08-14,greece,2008081415,Group B,200815
8,Jason Kidd,7.0,0,0,0,0,0,0,1,3,1,0,0,1,3,0,united states,2008-08-14,greece,2008081415,Group B,200815
9,Carlos Boozer,6.0,2,2,0,0,0,0,0,0,1,0,0,1,2,4,united states,2008-08-14,greece,2008081415,Group B,200815
10,Michael Redd,6.0,1,2,1,2,0,0,0,1,1,0,0,0,0,3,united states,2008-08-14,greece,2008081415,Group B,200815
11,Tayshaun Prince,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,united states,2008-08-14,greece,2008081415,Group B,200815
12,Totals,,36,67,7,20,13,23,11,38,23,15,7,16,24,92,united states,2008-08-14,greece,2008081415,Group B,200815
0,Vassilis Spanoulis,33.0,4,13,0,5,6,7,1,4,2,1,0,2,2,14,greece,2008-08-14,united states,2008081415,Group B,200815
1,Theodoros Papaloukas,28.0,6,9,2,2,1,1,2,8,2,1,0,5,1,15,greece,2008-08-14,united states,2008081415,Group B,200815
2,Dimitris Diamantidis,27.0,0,4,0,2,0,0,0,4,3,1,1,7,1,0,greece,2008-08-14,united states,2008081415,Group B,200815
3,Antonis Fotsis,24.0,4,9,1,3,0,0,3,8,1,0,0,1,0,9,greece,2008-08-14,united states,2008081415,Group B,200815
4,Nikos Zisis,22.0,1,7,0,2,1,1,2,3,1,0,0,4,2,3,greece,2008-08-14,united states,2008081415,Group B,200815
5,Ioannis Bourousis,13.0,3,3,0,0,3,4,1,4,0,0,0,1,3,9,greece,2008-08-14,united states,2008081415,Group B,200815
6,Kostas Tsartsaris,13.0,3,4,0,1,0,0,0,0,0,0,0,0,2,6,greece,2008-08-14,united states,2008081415,Group B,200815
7,Michalis Pelekanos,12.0,2,5,1,3,0,0,2,4,1,0,0,1,2,5,greece,2008-08-14,united states,2008081415,Group B,200815
8,Sofoklis Schortsanitis,12.0,1,2,0,0,1,3,1,1,0,1,0,3,4,3,greece,2008-08-14,united states,2008081415,Group B,200815
9,Panagiotis Vasilopoulos,7.0,1,2,0,0,1,2,1,1,0,0,0,0,4,3,greece,2008-08-14,united states,2008081415,Group B,200815
10,Andreas Glyniadakis,6.0,1,4,0,0,0,0,1,1,0,0,0,0,1,2,greece,2008-08-14,united states,2008081415,Group B,200815
11,Giorgos Printezis,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,greece,2008-08-14,united states,2008081415,Group B,200815
12,Totals,,26,63,4,18,13,18,14,38,10,4,1,25,22,69,greece,2008-08-14,united states,2008081415,Group B,200815
