,Starter,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,game_number
0,Sergei Monia,34,1,6,1,4,5,5,1,6,0,0,2,1,1,8,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
1,Andrey Vorontsevich,26,7,8,3,3,1,2,3,11,1,2,2,2,5,18,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
2,Vitaly Fridzon,25,4,10,2,5,2,2,0,1,0,2,0,0,3,12,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
3,Sergey Bykov,22,2,5,1,3,0,0,0,1,1,0,0,2,1,5,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
4,Sasha Kaun,19,3,3,0,0,0,2,3,5,0,0,1,3,3,6,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
6,Anton Ponkrashov,28,4,14,1,7,0,0,0,2,7,0,0,1,3,9,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
7,Timofey Mozgov,21,6,9,0,0,4,6,3,7,0,1,0,3,4,16,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
8,Dimitriy Khvostov,19,2,3,0,1,0,0,2,3,3,0,0,1,2,4,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
9,Evgeny Voronov,7,0,1,0,1,0,0,0,0,1,2,0,0,4,0,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
10,Evgeny Kolesnikov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
11,Totals,,29,59,8,24,12,17,12,36,13,7,5,13,26,78,russia,2010-09-06,new-zealand,2010090665,Round of 16,201065
0,Thomas Abercrombie,32,5,9,1,3,2,3,1,4,0,1,0,2,1,13,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
1,Kirk Penney,28,5,13,1,6,10,12,0,3,2,1,0,3,4,21,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
2,Lindsay Tait,25,0,5,0,1,1,2,0,1,1,1,0,1,1,1,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
3,Pero Cameron,21,1,5,1,5,1,2,0,0,1,0,0,2,2,4,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
4,Mika Vukona,16,1,1,0,0,0,0,1,5,2,1,1,2,5,2,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
5,Reserves,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
6,Phill Jones,25,2,9,1,5,2,2,1,1,1,0,0,1,3,7,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
7,Craig Bradshaw,23,0,2,0,1,2,2,0,3,1,0,0,0,2,2,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
8,Casey Frank,16,0,1,0,0,0,0,2,4,2,1,0,2,4,0,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
9,Michael Fitchett,15,1,3,1,3,3,4,0,0,0,0,0,0,0,6,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
10,Totals,,15,48,5,24,21,27,5,21,10,5,1,13,22,56,new-zealand,2010-09-06,russia,2010090665,Round of 16,201065
