,Player,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Country,Date,Opposition,id,tournament_stage,Result
0,Tony Parker,38.0,6,20,1,4,2,3,2,6,1,0,0,2,1,15,france,2012-08-08,spain,2012080833,Quarter-Finals,L
1,Nicolas Batum,32.0,3,12,1,5,2,2,3,5,1,0,1,1,3,9,france,2012-08-08,spain,2012080833,Quarter-Finals,L
2,Boris Diaw,31.0,6,11,3,6,0,1,1,8,5,0,1,1,3,15,france,2012-08-08,spain,2012080833,Quarter-Finals,L
3,Mickael Gelabale,28.0,2,7,0,3,0,0,0,3,1,0,0,0,4,4,france,2012-08-08,spain,2012080833,Quarter-Finals,L
4,Florent Pietrus,17.0,3,5,2,2,2,2,0,3,1,0,0,0,4,10,france,2012-08-08,spain,2012080833,Quarter-Finals,L
5,Ronny Turiaf,17.0,0,0,0,0,0,2,1,4,1,1,1,0,5,0,france,2012-08-08,spain,2012080833,Quarter-Finals,L
6,Nando De Colo,13.0,0,3,0,2,2,2,0,2,0,1,0,2,2,2,france,2012-08-08,spain,2012080833,Quarter-Finals,L
7,Ali Traore,12.0,1,4,0,0,0,0,0,1,0,0,0,1,3,2,france,2012-08-08,spain,2012080833,Quarter-Finals,L
8,Kevin Seraphin,7.0,1,2,0,0,0,0,1,1,0,0,0,3,3,2,france,2012-08-08,spain,2012080833,Quarter-Finals,L
9,Yannick Bokolo,6.0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,france,2012-08-08,spain,2012080833,Quarter-Finals,L
10,Totals,,22,65,7,22,8,12,9,35,10,3,3,10,29,59,france,2012-08-08,spain,2012080833,Quarter-Finals,L
0,Marc Gasol,32.0,4,8,1,1,5,6,1,8,0,0,0,4,3,14,spain,2012-08-08,france,2012080833,Quarter-Finals,L
1,Pau Gasol,32.0,3,7,0,2,4,5,1,11,3,0,1,1,3,10,spain,2012-08-08,france,2012080833,Quarter-Finals,L
2,Rudy Fernandez,30.0,3,9,0,5,3,4,0,4,3,2,2,0,1,9,spain,2012-08-08,france,2012080833,Quarter-Finals,L
3,Juan Carlos Navarro,26.0,3,11,2,5,4,6,1,6,2,0,0,3,3,12,spain,2012-08-08,france,2012080833,Quarter-Finals,L
4,Sergio Llull,23.0,3,7,1,3,1,4,0,1,1,0,0,1,2,8,spain,2012-08-08,france,2012080833,Quarter-Finals,L
5,Jose Calderon,21.0,2,6,0,2,1,2,2,2,1,1,0,1,1,5,spain,2012-08-08,france,2012080833,Quarter-Finals,L
6,Sergio Rodriguez,14.0,0,4,0,2,0,0,0,1,1,0,0,2,2,0,spain,2012-08-08,france,2012080833,Quarter-Finals,L
7,Serge Ibaka,13.0,2,3,0,0,0,0,2,5,1,1,0,0,1,4,spain,2012-08-08,france,2012080833,Quarter-Finals,L
8,Fernando San Emeterio,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,spain,2012-08-08,france,2012080833,Quarter-Finals,L
9,Felipe Reyes,2.0,0,0,0,0,2,2,0,1,0,0,0,1,1,2,spain,2012-08-08,france,2012080833,Quarter-Finals,L
10,Totals,,21,56,4,20,20,29,7,39,12,4,3,13,17,66,spain,2012-08-08,france,2012080833,Quarter-Finals,L
